customer_id,type,paperless_billing,payment_method,monthly_charges,total_charges,gender,senior_citizen,partner,dependents,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,multiple_lines,churn,total_services
8773-HHUOZ,Month-to-month,Yes,Mailed check,64.7,1093.1,Female,0,No,Yes,DSL,No,No,No,No,Yes,Yes,No,1,2
3841-NFECX,Two year,Yes,Credit card (automatic),96.35,6766.95,Female,1,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,0,4
4929-XIHVW,Month-to-month,Yes,Credit card (automatic),95.5,181.65,Male,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,No,0,3
6827-IEAUQ,One year,No,Mailed check,66.15,1874.45,Female,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,0,4
7310-EGVHZ,Month-to-month,No,Bank transfer (automatic),20.2,20.2,Male,0,No,No,No internet Service,No,No,No,No,No,No,No,0,0
3413-BMNZE,Month-to-month,No,Bank transfer (automatic),45.25,45.25,Male,1,No,No,DSL,No,No,No,No,No,No,No,0,0
6234-RAAPL,Two year,No,Bank transfer (automatic),99.9,7251.7,Female,0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,0,4
6047-YHPVI,Month-to-month,Yes,Electronic check,69.7,316.9,Male,0,No,No,Fiber optic,No,No,No,No,No,No,No,1,0
6572-ADKRS,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,Female,0,No,No,Fiber optic,No,No,Yes,No,No,No,No,0,1
5380-WJKOV,Month-to-month,Yes,Electronic check,106.35,3549.25,Male,0,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,1,4
8168-UQWWF,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Female,0,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1,3
8865-TNMNX,One year,No,Mailed check,49.55,475.7,Male,0,Yes,Yes,DSL,No,Yes,No,No,No,No,No,0,1
9489-DEDVP,Two year,Yes,Credit card (automatic),69.2,4872.35,Female,0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Yes,0,3
9867-JCZSP,One year,No,Mailed check,20.75,418.25,Female,0,Yes,Yes,No internet Service,No,No,No,No,No,No,No,0,0
4671-VJLCL,Two year,Yes,Credit card (automatic),79.85,4861.45,Female,0,No,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,0,5
4080-IIARD,Month-to-month,Yes,Electronic check,76.2,981.45,Female,0,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Yes,0,4
3714-NTNFO,Month-to-month,Yes,Electronic check,84.5,3906.7,Female,0,No,No,Fiber optic,No,No,No,No,No,Yes,Yes,0,1
5948-UJZLF,Month-to-month,No,Mailed check,49.25,97.0,Male,0,No,No,DSL,No,Yes,No,No,No,No,No,0,1
7760-OYPDY,Month-to-month,Yes,Electronic check,80.65,144.15,Female,0,No,No,Fiber optic,No,No,No,No,Yes,No,No,1,1
7639-LIAYI,Two year,Yes,Credit card (automatic),79.75,4217.8,Male,0,No,No,DSL,Yes,No,No,Yes,Yes,Yes,Yes,0,4
2954-PIBKO,Two year,Yes,Credit card (automatic),64.15,4254.1,Female,0,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Yes,0,3
8012-SOUDQ,Month-to-month,Yes,Electronic check,90.25,3838.75,Female,1,No,No,Fiber optic,No,Yes,No,No,Yes,No,Yes,0,2
9420-LOJKX,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Female,0,No,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,No,1,4
6575-SUVOI,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,Female,1,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Yes,0,3
7495-OOKFY,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Female,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes,1,1
4667-QONEA,One year,Yes,Credit card (automatic),74.85,4456.35,Female,1,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,No,0,5
1658-BYGOY,Month-to-month,Yes,Electronic check,95.45,1752.55,Male,1,No,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,1,2
8769-KKTPH,One year,Yes,Credit card (automatic),99.65,6311.2,Female,0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,0,3
5067-XJQFU,One year,Yes,Electronic check,108.45,7076.35,Male,1,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,0,5
3957-SQXML,Two year,No,Credit card (automatic),24.95,894.3,Female,0,Yes,Yes,No internet Service,No,No,No,No,No,No,Yes,0,0
5954-BDFSG,Two year,Yes,Credit card (automatic),107.5,7853.7,Female,0,No,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,0,4
0434-CSFON,Month-to-month,Yes,Electronic check,100.5,4707.1,Female,0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,0,3
1215-FIGMP,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,Male,0,No,No,Fiber optic,No,Yes,No,No,Yes,No,Yes,0,2
0526-SXDJP,Two year,No,Bank transfer (automatic),42.1,2962.0,Male,0,Yes,No,DSL,Yes,Yes,Yes,No,No,No,No,0,3
0557-ASKVU,One year,Yes,Credit card (automatic),54.4,957.1,Female,0,Yes,Yes,DSL,No,No,Yes,Yes,No,No,No,0,2
5698-BQJOH,Month-to-month,No,Electronic check,94.4,857.25,Female,0,No,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,1,2
5122-CYFXA,Month-to-month,Yes,Electronic check,75.3,244.1,Female,0,No,No,DSL,No,Yes,No,Yes,Yes,Yes,No,0,4
8627-ZYGSZ,One year,Yes,Electronic check,78.9,3650.35,Male,0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes,0,1
3410-YOQBQ,Two year,No,Mailed check,79.2,2497.2,Female,0,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,No,0,5
3170-NMYVV,Two year,No,Bank transfer (automatic),20.15,930.9,Female,0,Yes,Yes,No internet Service,No,No,No,No,No,No,No,0,0
7410-OIEDU,Month-to-month,Yes,Mailed check,79.85,887.35,Male,0,No,No,Fiber optic,Yes,No,Yes,No,No,No,No,0,2
2273-QCKXA,Month-to-month,No,Mailed check,49.05,49.05,Male,0,No,No,DSL,No,No,No,Yes,No,No,No,0,1
0731-EBJQB,One year,Yes,Electronic check,20.4,1090.65,Female,0,Yes,Yes,No internet Service,No,No,No,No,No,No,No,0,0
1891-QRQSA,Two year,Yes,Bank transfer (automatic),111.6,7099.0,Male,1,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,0,5
8028-PNXHQ,Two year,Yes,Bank transfer (automatic),24.25,1424.6,Male,0,Yes,Yes,No internet Service,No,No,No,No,No,No,Yes,0,0
5630-AHZIL,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,Female,0,No,Yes,DSL,Yes,No,No,Yes,No,Yes,No,0,3
2673-CXQEU,One year,No,Electronic check,110.5,6139.5,Female,1,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,0,5
6416-JNVRK,One year,No,Credit card (automatic),55.65,2688.85,Female,0,No,No,DSL,No,No,No,No,No,Yes,No,0,1
5590-ZSKRV,Month-to-month,No,Mailed check,54.65,482.25,Female,0,Yes,Yes,DSL,Yes,Yes,No,No,No,No,No,0,2
0191-ZHSKZ,Month-to-month,Yes,Electronic check,74.75,2111.3,Male,1,No,No,DSL,Yes,Yes,No,No,Yes,Yes,No,0,4
3887-PBQAO,One year,Yes,Credit card (automatic),25.9,1216.6,Female,0,Yes,Yes,No internet Service,No,No,No,No,No,No,Yes,0,0
5919-TMRGD,Month-to-month,Yes,Electronic check,79.35,79.35,Female,0,No,Yes,Fiber optic,No,No,No,No,Yes,No,No,1,1
8108-UXRQN,Month-to-month,No,Electronic check,50.55,565.35,Female,0,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,No,0,3
9191-MYQKX,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Female,0,Yes,No,Fiber optic,No,No,Yes,No,No,No,No,1,1
9919-YLNNG,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,Female,0,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No,0,5
0318-ZOPWS,Two year,Yes,Bank transfer (automatic),20.15,973.35,Female,0,Yes,No,No internet Service,No,No,No,No,No,No,No,0,0
4445-ZJNMU,Month-to-month,Yes,Credit card (automatic),99.3,918.75,Male,0,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,0,3
4808-YNLEU,One year,Yes,Bank transfer (automatic),62.15,2215.45,Female,0,Yes,No,DSL,Yes,No,No,No,Yes,No,No,0,2
1862-QRWPE,Two year,No,Bank transfer (automatic),20.65,1057.0,Female,0,Yes,Yes,No internet Service,No,No,No,No,No,No,No,0,0
2796-NNUFI,Two year,Yes,Mailed check,19.95,927.1,Female,0,Yes,Yes,No internet Service,No,No,No,No,No,No,No,0,0
3016-KSVCP,Month-to-month,No,Mailed check,33.75,1009.25,Male,0,Yes,No,DSL,No,No,No,No,Yes,No,No,0,1
4767-HZZHQ,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,Male,0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,No,0,2
2424-WVHPL,Month-to-month,No,Electronic check,74.7,74.7,Male,1,No,No,Fiber optic,No,No,No,Yes,No,No,No,0,1
7233-PAHHL,Two year,Yes,Mailed check,84.0,5714.25,Male,0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,0,5
6067-NGCEU,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,Female,0,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,0,5
9848-JQJTX,Two year,Yes,Bank transfer (automatic),100.9,7459.05,Male,0,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,0,4
8637-XJIVR,Month-to-month,Yes,Electronic check,78.95,927.35,Female,0,No,No,Fiber optic,Yes,No,No,No,No,No,Yes,1,1
9803-FTJCG,One year,Yes,Credit card (automatic),66.85,4748.7,Male,0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Yes,0,3
0278-YXOOG,Month-to-month,No,Mailed check,21.05,113.85,Male,0,No,No,No internet Service,No,No,No,No,No,No,No,1,0
3212-KXOCR,Two year,No,Bank transfer (automatic),21.0,1107.2,Male,0,No,No,No internet Service,No,No,No,No,No,No,No,0,0
4598-XLKNJ,Month-to-month,Yes,Electronic check,98.5,2514.5,Female,1,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,1,4
6380-ARCEH,Month-to-month,No,Mailed check,20.2,20.2,Male,0,No,No,No internet Service,No,No,No,No,No,No,No,0,0
3679-XASPY,Month-to-month,No,Electronic check,19.45,19.45,Female,0,Yes,Yes,No internet Service,No,No,No,No,No,No,No,0,0
7123-WQUHX,One year,No,Bank transfer (automatic),95.0,3605.6,Male,0,No,No,Fiber optic,No,No,Yes,Yes,Yes,No,Yes,0,3
5386-THSLQ,One year,No,Bank transfer (automatic),45.55,3027.25,Female,1,Yes,No,DSL,No,Yes,Yes,No,Yes,No,No,0,3
3192-NQECA,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Male,0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,1,5
6180-YBIQI,Month-to-month,No,Mailed check,24.3,100.2,Male,0,No,No,DSL,No,No,No,No,No,No,No,0,0
6728-DKUCO,One year,Yes,Electronic check,104.15,7303.05,Female,0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,0,4
9750-BOOHV,One year,No,Mailed check,30.15,927.65,Female,0,No,No,DSL,Yes,No,No,No,No,No,No,0,1
8597-CWYHH,One year,No,Mailed check,94.35,3921.3,Male,0,No,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,0,2
2848-YXSMW,Two year,No,Credit card (automatic),19.4,1363.25,Male,0,Yes,Yes,No internet Service,No,No,No,No,No,No,No,0,0
0486-HECZI,Month-to-month,Yes,Electronic check,96.75,5238.9,Male,0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,1,3
4549-ZDQYY,One year,No,Credit card (automatic),57.95,3042.25,Female,0,No,No,DSL,Yes,No,Yes,Yes,No,No,No,0,3
5712-AHQNN,Month-to-month,Yes,Electronic check,91.65,3954.1,Female,0,No,No,Fiber optic,No,Yes,Yes,No,Yes,No,No,0,3
4846-WHAFZ,Month-to-month,Yes,Electronic check,76.5,2868.15,Female,1,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,1,0
5256-SKJGO,Two year,Yes,Electronic check,54.6,3423.5,Female,0,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,No,0,4
3071-VBYPO,Month-to-month,No,Electronic check,89.85,248.4,Male,0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,No,0,3
9560-BBZXK,Two year,No,Bank transfer (automatic),31.05,1126.35,Female,0,No,No,DSL,Yes,No,No,No,No,No,No,0,1
5299-RULOA,Month-to-month,Yes,Electronic check,100.25,1064.65,Female,0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,1,3
8402-OOOHJ,Two year,No,Mailed check,20.65,835.15,Female,0,No,No,No internet Service,No,No,No,No,No,No,No,0,0
9445-ZUEQE,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,Male,0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Yes,0,2
1091-SOZGA,One year,Yes,Credit card (automatic),99.8,5515.45,Female,0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,0,3
2928-HLDBA,Month-to-month,No,Mailed check,20.7,112.75,Female,0,No,No,No internet Service,No,No,No,No,No,No,No,0,0
0404-SWRVG,Month-to-month,Yes,Electronic check,74.4,229.55,Male,0,No,No,Fiber optic,No,No,No,No,No,No,Yes,1,0
6497-TILVL,Month-to-month,No,Mailed check,50.7,350.35,Female,0,Yes,Yes,DSL,Yes,No,No,No,No,No,No,0,1
7219-TLZHO,Month-to-month,No,Mailed check,20.85,62.9,Female,0,Yes,Yes,No internet Service,No,No,No,No,No,No,No,0,0
4622-YNKIJ,Two year,Yes,Electronic check,88.95,3027.65,Male,0,No,No,Fiber optic,Yes,No,No,Yes,Yes,No,No,0,3
4412-YLTKF,Month-to-month,Yes,Electronic check,78.05,2135.5,Female,1,No,No,Fiber optic,No,No,Yes,No,No,No,Yes,1,1
6734-PSBAW,Two year,Yes,Bank transfer (automatic),23.55,1723.95,Male,0,Yes,No,No internet Service,No,No,No,No,No,No,Yes,0,0
3930-ZGWVE,Month-to-month,No,Mailed check,19.75,19.75,Male,0,No,No,No internet Service,No,No,No,No,No,No,No,0,0
2639-UGMAZ,One year,Yes,Electronic check,56.45,3985.35,Male,1,No,No,DSL,Yes,Yes,No,No,Yes,Yes,No,0,4
2876-GZYZC,Month-to-month,Yes,Electronic check,85.95,1215.65,Female,0,No,No,Fiber optic,No,No,No,No,No,Yes,Yes,0,1
6207-WIOLX,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Female,0,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,No,1,5
8587-XYZSF,Two year,No,Bank transfer (automatic),50.55,3260.1,Male,0,No,No,DSL,No,No,No,Yes,No,No,No,0,1
3091-FYHKI,Month-to-month,Yes,Electronic check,35.45,35.45,Male,0,No,No,DSL,No,No,No,No,No,Yes,No,1,1
2372-HWUHI,Month-to-month,No,Electronic check,44.35,81.25,Male,0,No,No,DSL,No,No,No,No,No,No,No,1,0
7799-LGRDP,Two year,Yes,Credit card (automatic),25.7,1188.2,Female,0,No,No,No internet Service,No,No,No,No,No,No,Yes,0,0
7850-VWJUU,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,Female,0,No,No,Fiber optic,Yes,No,No,No,No,No,No,0,1
3774-VBNXY,Two year,No,Mailed check,20.2,1277.75,Female,0,Yes,Yes,No internet Service,No,No,No,No,No,No,No,0,0
6217-KDYWC,Two year,Yes,Mailed check,19.6,1170.55,Male,0,No,Yes,No internet Service,No,No,No,No,No,No,No,0,0
0390-DCFDQ,Month-to-month,Yes,Mailed check,70.45,70.45,Female,1,Yes,No,Fiber optic,No,No,No,No,No,No,No,1,0
3146-MSEGF,Two year,Yes,Credit card (automatic),88.05,6425.65,Female,1,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,6
4080-OGPJL,Month-to-month,No,Electronic check,71.15,563.65,Female,0,No,No,DSL,Yes,No,No,Yes,No,Yes,Yes,1,3
1095-WGNGG,Two year,Yes,Bank transfer (automatic),101.05,5971.25,Female,0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,0,3
2636-SJDOU,One year,Yes,Credit card (automatic),84.3,5289.05,Male,0,No,No,Fiber optic,Yes,Yes,No,No,No,No,Yes,0,2
1131-QQZEB,Two year,No,Bank transfer (automatic),23.95,1756.2,Male,1,Yes,No,No internet Service,No,No,No,No,No,No,Yes,0,0
5716-EZXZN,Two year,Yes,Credit card (automatic),99.05,6416.7,Female,0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,0,4
6837-BJYDQ,One year,No,Mailed check,19.6,61.35,Male,0,No,No,No internet Service,No,No,No,No,No,No,No,0,0
2135-RXIHG,Month-to-month,Yes,Electronic check,45.65,45.65,Male,0,No,No,DSL,No,No,No,No,No,No,No,1,0
6440-DKQGE,One year,No,Credit card (automatic),64.5,1929.95,Male,0,No,Yes,DSL,No,Yes,Yes,No,Yes,No,No,0,3
3466-BYAVD,Month-to-month,Yes,Mailed check,69.5,1071.4,Male,0,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,No,0,4
3780-YVMFA,Month-to-month,Yes,Electronic check,68.55,564.35,Female,0,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,No,0,3
3874-EQOEP,Month-to-month,No,Mailed check,95.0,655.5,Male,0,No,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,1,2
1679-JRFBR,One year,Yes,Credit card (automatic),108.15,7930.55,Female,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,0,5
9073-ZZIAY,Two year,No,Electronic check,86.1,5215.25,Male,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,0,6
3077-RSNTJ,Month-to-month,No,Mailed check,19.7,113.5,Female,0,Yes,Yes,No internet Service,No,No,No,No,No,No,No,0,0
6551-GNYDG,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,Female,0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,No,0,1
9167-APMXZ,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,Female,0,No,No,Fiber optic,No,No,No,No,Yes,No,Yes,0,1
2749-CTKAJ,One year,No,Mailed check,20.15,419.9,Male,0,Yes,Yes,No internet Service,No,No,No,No,No,No,No,0,0
6371-NZYEG,Two year,No,Mailed check,64.25,1024.0,Male,0,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,No,0,3
7554-NEWDD,Two year,No,Bank transfer (automatic),25.7,251.6,Male,0,No,No,No internet Service,No,No,No,No,No,No,Yes,0,0
8992-VONJD,Month-to-month,Yes,Electronic check,56.0,764.55,Female,0,No,Yes,DSL,Yes,Yes,No,No,No,No,No,0,2
0867-MKZVY,Month-to-month,No,Electronic check,82.4,1592.35,Female,0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes,1,1
4482-EWFMI,Month-to-month,Yes,Electronic check,69.7,135.2,Female,0,No,No,Fiber optic,No,No,No,No,No,No,No,0,0
4648-YPBTM,Two year,Yes,Bank transfer (automatic),73.9,3958.25,Male,0,No,No,DSL,No,Yes,Yes,Yes,No,Yes,Yes,0,4
2907-ILJBN,One year,No,Mailed check,20.6,233.9,Female,0,Yes,Yes,No internet Service,No,No,No,No,No,No,No,0,0
6345-FZOQH,Two year,No,Mailed check,19.9,1363.45,Male,0,Yes,No,No internet Service,No,No,No,No,No,No,No,0,0
3376-BMGFE,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,Female,0,No,No,Fiber optic,No,No,No,No,No,No,No,1,0
5997-OPVFA,Two year,Yes,Bank transfer (automatic),89.05,6254.45,Male,0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,6
3445-HXXGF,Month-to-month,Yes,Electronic check,45.3,2651.2,Male,1,Yes,No,DSL,No,Yes,Yes,No,No,Yes,No,1,3
1159-WFSGR,Month-to-month,No,Electronic check,20.4,321.4,Female,0,Yes,Yes,No internet Service,No,No,No,No,No,No,No,0,0
7654-YWJUF,One year,Yes,Bank transfer (automatic),84.25,3539.25,Male,0,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,No,0,3
1875-QIVME,Month-to-month,Yes,Electronic check,104.4,242.8,Female,0,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,1,4
6727-IOTLZ,Two year,No,Mailed check,81.95,1181.75,Male,0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,No,0,5
0691-JVSYA,One year,Yes,Bank transfer (automatic),94.85,5000.2,Female,0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,No,1,3
5918-VUKWP,One year,No,Bank transfer (automatic),20.55,654.55,Female,0,No,No,No internet Service,No,No,No,No,No,No,No,0,0
1744-JHKYS,Month-to-month,No,Electronic check,24.7,780.2,Female,0,Yes,No,No internet Service,No,No,No,No,No,No,Yes,0,0
2656-FMOKZ,Month-to-month,Yes,Mailed check,74.45,1145.7,Female,1,No,No,Fiber optic,No,No,No,No,No,No,Yes,1,0
2070-FNEXE,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Female,1,No,No,Fiber optic,Yes,No,No,No,No,No,No,1,1
5947-SGKCL,Month-to-month,Yes,Bank transfer (automatic),105.35,1559.25,Female,0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,0,4
3712-PKXZA,One year,Yes,Credit card (automatic),20.55,1252.0,Male,0,Yes,No,No internet Service,No,No,No,No,No,No,No,0,0
6317-YPKDH,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Female,0,No,No,DSL,No,Yes,No,No,No,No,No,1,1
6582-OIVSP,Month-to-month,No,Mailed check,45.3,45.3,Female,0,No,No,DSL,No,No,No,No,No,No,No,0,0
9367-WXLCH,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Male,0,No,No,Fiber optic,No,No,No,No,No,Yes,Yes,1,1
5524-KHNJP,One year,No,Credit card (automatic),74.75,2453.3,Male,0,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,No,0,4
1918-ZBFQJ,Month-to-month,Yes,Electronic check,79.25,1111.65,Female,0,No,No,Fiber optic,No,Yes,Yes,No,No,No,No,1,2
1024-GUALD,Month-to-month,Yes,Electronic check,24.8,24.8,Female,0,Yes,No,DSL,No,No,No,No,No,No,No,1,0
4827-USJHP,Month-to-month,Yes,Mailed check,51.8,1023.85,Male,0,No,No,DSL,No,Yes,No,No,No,No,No,0,1
8167-GJLRN,Month-to-month,No,Electronic check,30.4,82.15,Male,0,No,No,DSL,No,No,No,Yes,No,No,No,0,1
